Model,Test Accuracy,CI Lower,CI Upper
"Poly Logistic (L2, selected C=0.03)",0.7933333333333333,0.7216049669151186,0.8504119647860597
kNN (k=39),0.78,0.7071754568460243,0.8388407052323733
"Poly Logistic (L2, fixed C=1)",0.7733333333333333,0.6999966119167443,0.8330191653502627
"Poly Logistic (L1, fixed C=1)",0.7733333333333333,0.6999966119167443,0.8330191653502627
Logistic Regression,0.76,0.6857071477257108,0.8213078599185155
