Model,Train Accuracy,Train Precision,Train Recall,Train F1,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Test Accuracy,Test Precision,Test Recall,Test F1
"Poly Logistic (L2, selected C=0.03)",0.75,0.7117346938775511,0.8181818181818182,0.7612551159618008,0.6933333333333334,0.6588235294117647,0.7671232876712328,0.7088607594936709,0.7933333333333333,0.7560975609756098,0.8493150684931506,0.8
kNN (k=39),0.7414285714285714,0.7072538860103627,0.8005865102639296,0.7510316368638239,0.7133333333333334,0.6785714285714286,0.7808219178082192,0.7261146496815286,0.78,0.75,0.821917808219178,0.7843137254901961
"Poly Logistic (L2, fixed C=1)",0.7285714285714285,0.7024128686327078,0.7683284457478006,0.7338935574229691,0.6933333333333334,0.6626506024096386,0.7534246575342466,0.7051282051282052,0.7733333333333333,0.7468354430379747,0.8082191780821918,0.7763157894736842
"Poly Logistic (L1, fixed C=1)",0.7271428571428571,0.7016129032258065,0.7653958944281525,0.7321178120617111,0.6933333333333334,0.6626506024096386,0.7534246575342466,0.7051282051282052,0.7733333333333333,0.7468354430379747,0.8082191780821918,0.7763157894736842
Logistic Regression,0.72,0.7030812324929971,0.7360703812316716,0.7191977077363897,0.7,0.675,0.7397260273972602,0.7058823529411765,0.76,0.7402597402597403,0.7808219178082192,0.76
