Penalty,C,Validation Accuracy,Validation F1,Num Zero Coefs,Zero Features
L2,0.01,0.6866666666666666,0.7080745341614907,0,
L1,0.01,0.5133333333333333,0.0,6,"employment_status_Unemployed, income, loan_amount, income^2, income loan_amount, loan_amount^2"
L2,0.03,0.6933333333333334,0.7088607594936709,0,
L1,0.03,0.7,0.7058823529411765,4,"loan_amount, income^2, income loan_amount, loan_amount^2"
L2,0.1,0.6933333333333334,0.7051282051282052,0,
L1,0.1,0.7,0.7058823529411765,1,loan_amount^2
L2,0.3,0.6933333333333334,0.7051282051282052,0,
L1,0.3,0.6933333333333334,0.7051282051282052,1,loan_amount^2
L2,1.0,0.6933333333333334,0.7051282051282052,0,
L1,1.0,0.6933333333333334,0.7051282051282052,0,
L2,3.0,0.6933333333333334,0.7051282051282052,0,
L1,3.0,0.6933333333333334,0.7051282051282052,0,
L2,10.0,0.6933333333333334,0.7051282051282052,0,
L1,10.0,0.6933333333333334,0.7051282051282052,0,
L2,30.0,0.6933333333333334,0.7051282051282052,0,
L1,30.0,0.6933333333333334,0.7051282051282052,0,
L2,100.0,0.6933333333333334,0.7051282051282052,0,
L1,100.0,0.6933333333333334,0.7051282051282052,0,
