Metric,Train,Validation,Test
Accuracy,0.72,0.7,0.76
Precision,0.7030812324929971,0.675,0.7402597402597403
Recall,0.7360703812316716,0.7397260273972602,0.7808219178082192
F1-score,0.7191977077363897,0.7058823529411765,0.76
