Penalty,C,Feature,Coefficient,Abs_Coefficient,Is_Zero
L2,0.01,employment_status_Unemployed,0.4778597275815761,0.4778597275815761,False
L2,0.01,income,-0.1503316455983394,0.1503316455983394,False
L2,0.01,loan_amount,0.03876980066781845,0.03876980066781845,False
L2,0.01,income^2,0.04875901886271808,0.04875901886271808,False
L2,0.01,income loan_amount,-0.028542410717586716,0.028542410717586716,False
L2,0.01,loan_amount^2,-0.04630545633514994,0.04630545633514994,False
L1,0.01,employment_status_Unemployed,0.0,0.0,True
L1,0.01,income,0.0,0.0,True
L1,0.01,loan_amount,0.0,0.0,True
L1,0.01,income^2,0.0,0.0,True
L1,0.01,income loan_amount,0.0,0.0,True
L1,0.01,loan_amount^2,0.0,0.0,True
L2,0.03,employment_status_Unemployed,0.9315738659514224,0.9315738659514224,False
L2,0.03,income,-0.21037120768511516,0.21037120768511516,False
L2,0.03,loan_amount,0.058365138722414035,0.058365138722414035,False
L2,0.03,income^2,0.09336249736308505,0.09336249736308505,False
L2,0.03,income loan_amount,-0.055092248841697104,0.055092248841697104,False
L2,0.03,loan_amount^2,-0.05760619604105652,0.05760619604105652,False
L1,0.03,employment_status_Unemployed,0.621540844683348,0.621540844683348,False
L1,0.03,income,-0.04275118118898432,0.04275118118898432,False
L1,0.03,loan_amount,0.0,0.0,True
L1,0.03,income^2,0.0,0.0,True
L1,0.03,income loan_amount,0.0,0.0,True
L1,0.03,loan_amount^2,0.0,0.0,True
L2,0.1,employment_status_Unemployed,1.4590082270678355,1.4590082270678355,False
L2,0.1,income,-0.2587371593272454,0.2587371593272454,False
L2,0.1,loan_amount,0.07238913658831528,0.07238913658831528,False
L2,0.1,income^2,0.17321230572302826,0.17321230572302826,False
L2,0.1,income loan_amount,-0.09440955698857059,0.09440955698857059,False
L2,0.1,loan_amount^2,-0.030888880083381507,0.030888880083381507,False
L1,0.1,employment_status_Unemployed,1.5248360430823804,1.5248360430823804,False
L1,0.1,income,-0.21136929189673112,0.21136929189673112,False
L1,0.1,loan_amount,0.0161904619101404,0.0161904619101404,False
L1,0.1,income^2,0.10653714830326462,0.10653714830326462,False
L1,0.1,income loan_amount,-0.03732345598171031,0.03732345598171031,False
L1,0.1,loan_amount^2,0.0,0.0,True
L2,0.3,employment_status_Unemployed,1.7851599863357803,1.7851599863357803,False
L2,0.3,income,-0.2867202657878599,0.2867202657878599,False
L2,0.3,loan_amount,0.07892708445105726,0.07892708445105726,False
L2,0.3,income^2,0.23805560700930636,0.23805560700930636,False
L2,0.3,income loan_amount,-0.12358600910323965,0.12358600910323965,False
L2,0.3,loan_amount^2,0.0019049865540226375,0.0019049865540226375,False
L1,0.3,employment_status_Unemployed,1.8559437737986564,1.8559437737986564,False
L1,0.3,income,-0.27441769374918074,0.27441769374918074,False
L1,0.3,loan_amount,0.06023918830314235,0.06023918830314235,False
L1,0.3,income^2,0.2265020304052287,0.2265020304052287,False
L1,0.3,income loan_amount,-0.10680331888103904,0.10680331888103904,False
L1,0.3,loan_amount^2,0.0,0.0,True
L2,1.0,employment_status_Unemployed,1.9538556155589162,1.9538556155589162,False
L2,1.0,income,-0.30154769911706797,0.30154769911706797,False
L2,1.0,loan_amount,0.08198371459803558,0.08198371459803558,False
L2,1.0,income^2,0.2760835713833331,0.2760835713833331,False
L2,1.0,income loan_amount,-0.1400702309985385,0.1400702309985385,False
L2,1.0,loan_amount^2,0.022888385266246803,0.022888385266246803,False
L1,1.0,employment_status_Unemployed,1.9844167208610317,1.9844167208610317,False
L1,1.0,income,-0.29891258074933985,0.29891258074933985,False
L1,1.0,loan_amount,0.07668020872005496,0.07668020872005496,False
L1,1.0,income^2,0.2746197060343528,0.2746197060343528,False
L1,1.0,income loan_amount,-0.13528312209730348,0.13528312209730348,False
L1,1.0,loan_amount^2,0.01628600892055482,0.01628600892055482,False
L2,3.0,employment_status_Unemployed,2.011132214066873,2.011132214066873,False
L2,3.0,income,-0.30667789162726933,0.30667789162726933,False
L2,3.0,loan_amount,0.08299398405488426,0.08299398405488426,False
L2,3.0,income^2,0.28966870320767324,0.28966870320767324,False
L2,3.0,income loan_amount,-0.1458639398241368,0.1458639398241368,False
L2,3.0,loan_amount^2,0.030574931803097855,0.030574931803097855,False
L1,3.0,employment_status_Unemployed,2.0224034853113557,2.0224034853113557,False
L1,3.0,income,-0.3058840121279647,0.3058840121279647,False
L1,3.0,loan_amount,0.0812115274114739,0.0812115274114739,False
L1,3.0,income^2,0.2894916323224744,0.2894916323224744,False
L1,3.0,income loan_amount,-0.14437959506259118,0.14437959506259118,False
L1,3.0,loan_amount^2,0.0285639356866393,0.0285639356866393,False
L2,10.0,employment_status_Unemployed,2.0324179217799276,2.0324179217799276,False
L2,10.0,income,-0.30860118090322175,0.30860118090322175,False
L2,10.0,loan_amount,0.08335623972408396,0.08335623972408396,False
L2,10.0,income^2,0.2948048214597404,0.2948048214597404,False
L2,10.0,income loan_amount,-0.14804953154604195,0.14804953154604195,False
L2,10.0,loan_amount^2,0.03350674982633215,0.03350674982633215,False
L1,10.0,employment_status_Unemployed,2.035909706608056,2.035909706608056,False
L1,10.0,income,-0.3083696374543473,0.3083696374543473,False
L1,10.0,loan_amount,0.08282419067398449,0.08282419067398449,False
L1,10.0,income^2,0.29477015638771126,0.29477015638771126,False
L1,10.0,income loan_amount,-0.14761082678985554,0.14761082678985554,False
L1,10.0,loan_amount^2,0.032908491780728286,0.032908491780728286,False
L2,30.0,employment_status_Unemployed,2.038624788522119,2.038624788522119,False
L2,30.0,income,-0.30916279506533145,0.30916279506533145,False
L2,30.0,loan_amount,0.08346338063285783,0.08346338063285783,False
L2,30.0,income^2,0.29631081874952675,0.29631081874952675,False
L2,30.0,income loan_amount,-0.1486880737499931,0.1486880737499931,False
L2,30.0,loan_amount^2,0.03436703644048323,0.03436703644048323,False
L1,30.0,employment_status_Unemployed,2.0397863871258193,2.0397863871258193,False
L1,30.0,income,-0.3090845170905867,0.3090845170905867,False
L1,30.0,loan_amount,0.08328781345676149,0.08328781345676149,False
L1,30.0,income^2,0.296285051121278,0.296285051121278,False
L1,30.0,income loan_amount,-0.14853901307958986,0.14853901307958986,False
L1,30.0,loan_amount^2,0.03415558063634055,0.03415558063634055,False
L2,100.0,employment_status_Unemployed,2.0408109644492027,2.0408109644492027,False
L2,100.0,income,-0.30936076803542,0.30936076803542,False
L2,100.0,loan_amount,0.08350107814396192,0.08350107814396192,False
L2,100.0,income^2,0.29684219040987203,0.29684219040987203,False
L2,100.0,income loan_amount,-0.14891325531665464,0.14891325531665464,False
L2,100.0,loan_amount^2,0.03467078770280727,0.03467078770280727,False
L1,100.0,employment_status_Unemployed,2.041145601764924,2.041145601764924,False
L1,100.0,income,-0.3093352241540684,0.3093352241540684,False
L1,100.0,loan_amount,0.08345035989798723,0.08345035989798723,False
L1,100.0,income^2,0.29681618602590404,0.29681618602590404,False
L1,100.0,income loan_amount,-0.14886442117017293,0.14886442117017293,False
L1,100.0,loan_amount^2,0.034592671948403264,0.034592671948403264,False
